Reviews,Size,Installs,Type,Price,'Content Rating',Genres,'Last Updated',Rating
1019,39,100000,0,0,3,2,2018,4.5
7728,39,500000,0,0,3,8,2018,4.5
55380,39,5000000,0,0,1,2,2018,4.5
8649,39,1000000,0,0,3,2,2018,4.5
3017,39,500000,0,0,4,8,2018,4.5
6026,39,100000,0,0,3,2,2018,4.5
10256,39,1000000,0,0,1,2,2017,4.5
567984,39,10000000,0,0,1,11,2018,4.5
3656,39,100000,0,0,1,2,2018,5
520962,39,10000000,0,0,3,2,2017,5
1115,39,100000,0,0,1,3,2017,5
14823,40,1000000,0,0,3,2,2017,3.5
2102,40,100000,0,0,2,2,2015,4
267,40,10000,1,1.99,1,2,2017,4
4107,40,50000,1,4.99,1,8,2015,4.5
177542,40,10000000,0,0,1,3,2016,4.5
360630,40,50000000,0,0,1,9,2018,4.5
118253,40,10000000,0,0,3,3,2018,4.5
1563,40,50000,0,0,3,8,2017,4.5
4396,40,100000,0,0,1,6,2017,4.5
98123,40,10000000,0,0,3,3,2018,4.5
169661,40,10000000,0,0,1,3,2018,5
703,40,10000,0,0,2,5,2017,5
182,41,50000,0,0,3,8,2018,4
795,41,100000,0,0,3,2,2017,4
275843,41,10000000,0,0,3,8,2018,4.5
5091448,41,100000000,0,0,1,3,2018,4.5
13714,41,1000000,0,0,2,2,2017,4.5
8193,41,500000,0,0,1,3,2016,4.5
26985,41,5000000,0,0,1,12,2018,4.5
2399,42,100000,0,0,4,2,2018,4.5
3946,42,100000,0,0,3,11,2017,4.5
41089,42,5000000,0,0,3,2,2018,4.5
4000433,42,100000000,0,0,1,3,2018,4.5
661,42,100000,0,0,1,2,2018,4.5
2975,42,50000,1,1.99,1,3,2016,4.5
15806,42,1000000,0,0,3,3,2018,4.5
1995,43,100000,0,0,1,2,2016,3.5
4552,43,100000,0,0,1,11,2016,4
1576,43,50000,0,0,1,3,2018,4
145931,43,10000000,0,0,3,2,2018,4
924,43,100000,0,0,1,3,2017,4.5
1092106,43,50000000,0,0,1,5,2018,4.5
314774,43,5000000,0,0,3,2,2013,4.5
391325,43,10000000,0,0,1,8,2018,4.5
555,44,100000,0,0,3,2,2018,4
29462,44,1000000,0,0,3,10,2018,4
32522,44,1000000,0,0,1,11,2016,4
103199,44,10000000,0,0,3,2,2018,4
11258,44,500000,0,0,4,2,2016,4.5
257531,44,10000000,0,0,2,11,2018,4.5
211,44,10000,0,0,3,2,2017,4.5
250197,44,5000000,0,0,3,2,2018,4.5
11051,44,1000000,0,0,3,7,2018,4.5
29270,44,5000000,0,0,1,2,2018,4.5
834117,44,10000000,0,0,3,2,2018,4.5
862,44,100000,0,0,2,2,2018,4.5
1294,44,50000,0,0,4,2,2018,4.5
617732,44,10000000,0,0,2,2,2018,4.5
8482,45,1000000,0,0,1,11,2015,4
17372,45,1000000,0,0,4,3,2015,4
35171,45,1000000,0,0,1,11,2014,4
140,45,50000,0,0,4,1,2017,4.5
2628,45,100000,0,0,3,8,2017,4.5
20364,45,5000000,0,0,1,11,2018,4.5
1218055,45,100000000,0,0,1,3,2018,4.5
889425,45,10000000,0,0,3,2,2015,4.5
24210,45,500000,0,0,3,2,2015,4.5
21266,45,100000,1,2.99,3,2,2015,5
7718,46,100000,0,0,1,2,2018,4
59223,46,5000000,0,0,3,2,2018,4
8608,46,500000,0,0,3,7,2018,4.5
63680,46,1000000,0,0,2,8,2018,4.5
2183,46,500000,0,0,1,11,2018,4.5
13004,46,100000,1,6.99,3,2,2016,4.5
210317,46,10000000,0,0,2,8,2015,4.5
6698,46,500000,0,0,2,2,2016,4.5
2610328,46,100000000,0,0,1,3,2018,4.5
2610526,46,100000000,0,0,1,3,2018,4.5
2610622,46,100000000,0,0,1,3,2018,4.5
2610680,46,100000000,0,0,1,3,2018,4.5
43645,46,5000000,0,0,1,3,2018,4.5
148895,46,10000000,0,0,1,12,2018,4.5
148897,46,10000000,0,0,1,12,2018,4.5
148945,46,10000000,0,0,1,12,2018,4.5
148990,46,10000000,0,0,1,12,2018,4.5
43576,50,5000000,0,0,1,3,2017,4.5
190274,46,5000000,0,0,1,3,2018,5
517,47,50000,0,0,1,3,2015,4
2433,47,100000,0,0,1,10,2018,4
499,47,10000,1,3.99,1,11,2018,4
640974,47,50000000,0,0,1,11,2018,4.5
54221,47,1000000,0,0,1,11,2013,4.5
10748,47,1000000,0,0,1,3,2018,4.5
13118,47,500000,0,0,3,8,2018,4.5
